id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.21832962131350078,0.18709278147327496,0.22756500592825116
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.21003403925046438,0.09854211394326914,0.3163155304128684
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.2754655120748334,0.1241711795298327,0.21022497660382358
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.22683843116873323,-0.024939849856477,0.24123655147972078
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.3904633618123164,0.40340716150903216,0.390899952844094
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.603734530149857,0.3816237266337852,0.6234410163116617
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.2930413638193961,0.6293216190179615,0.41374380911214004
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.5377962065142239,0.383390068733453,0.5368169449386644
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.4546154891187174,0.5204974081880631,0.4756926490889225
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.45022253394152195,0.19572085909852255,0.34862081317362575
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.493386104056924,0.4861270479482812,0.5370560219458519
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.6607694760252533,0.18975104292108794,0.4640388121365335
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.7503762579127342,0.33801208751549416,0.6254595029999808
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.8547748290520903,0.10359885919348917,0.6822592669869987
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.790886922214845,0.31892129337641745,0.7134374526017052
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.6940868444636886,0.20443503463133192,0.553455038510938
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.7469781222768426,0.48544325634114943,0.6452216382692388
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8686351835385077,0.2406514168502423,0.6588687712669495
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.6223914259736698,0.6030979386101288,0.6743331044695524
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.7494205903955475,0.36278511167108835,0.7014388818872821
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.7665473421510166,0.44513202489863024,0.7443505859902679
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.589351417721899,0.4550947662221682,0.6442040744119553
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.49925040687748123,0.44886922097607784,0.520042271933475
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.5494507491095759,0.5398718763741515,0.5811994184446174
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.6404181675704509,0.4163414419112223,0.5418614821927333
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.7007239454551156,0.32429246906047876,0.6183575811590407
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.36187818626401713,0.2506612433396633,0.3293225776766034
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.7312899838565685,0.5504346627598755,0.7160490808936715
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.7179712797652451,0.6109856231508265,0.7113693957730451
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.5162469576053342,0.4269999312050924,0.6437918590397934
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.8798822864861017,0.4317978113865412,0.8399216329418029
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.5906208658521146,0.3997566585118813,0.5512874269127757
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.6709747052034947,0.346923034867021,0.5941532284453569
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.5301778979871679,0.21554797110367957,0.5022969399349079
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.2517348474768246,0.2779826197899257,0.2661724622554094
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.08376526771575724,0.07956407251457202,-0.06144834020752191
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.21813280048510947,0.22597105419042626,0.23661716899676
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.6863426037830048,0.45853167853300203,0.6455688549847562
